Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden
95,80,85,75,66,75,66,55,50,40,20,30,15,20,5,25,25
95,75,75,51,75,51,51,51,50,20,49,25,49,5,5,10,5
95,85,85,70,75,70,80,60,50,30,10,25,25,20,1,5,15
95,85,85,70,75,70,80,60,50,30,10,25,25,20,1,5,15
98,95,80,70,70,75,65,60,50,10,50,5,20,5,1,2,10
95,99,85,90,75,75,80,65,50,7,15,8,15,5,1,3,20
85,95,65,80,40,45,80,60,45,45,35,20,40,20,10,20,30
97,95,75,70,70,80,75,55,50,25,30,15,25,20,3,5,10
95,95,80,70,65,80,65,55,50,20,30,35,35,15,5,15,10
90,85,90,70,75,70,65,60,52,60,20,30,45,20,10,6,25
90,90,85,70,60,75,80,60,50,25,1,15,40,20,15,10,15
99,97,70,75,75,75,90,67,50,17,10,10,25,17,2,3,5
60,80,70,70,60,55,60,55,50,20,5,30,30,10,5,5,15
88.7,69,80,51,70,60,50,5,50,30,49,20,40,13,2,3,5
